gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk
test_female.mp4_segment_1_Gesture_0.13_1.23,test,R,1,2,2,0.0006485197786006727,2.7197341224035925,1.08,2,0.32,4.0,2,0.4136838966119867,0.27040543773117925,0.27040543773117925,2,0.11017275242311364,0.4158780721544806,0.1923396253610037,2.277803936406785,0.05036003168386581,19.282978630090902,0.12024781165149964,0.07938105469513426,0.9870828910545678,0.10998759108981078,11.464334072917238
test_female.mp4_segment_1_Gesture_0.50_1.07,test,R,1,2,2,0.0004302422650145682,2.7067611730184176,0.56,0,0.0,0.0,1,0.46830343733257795,0.46830343733257795,0.46830343733257795,2,0.16287161886440643,0.47194874505967666,0.24803467238649307,2.782986947063702,0.4783927754567015,35.4552999959945,0.17668259537786546,0.11060395865372298,1.827855120308209,0.23598093329028624,22.895112790323537
test_female.mp4_segment_2_Gesture_2.34_3.24,test,L,1,2,2,2.449273781781603e-05,0.0,0.88,1,0.12,3.0,3,0.1723574517430539,0.1391681935424994,0.1391681935424994,3,0.05105909356342538,0.17186684145942294,0.09485110671843296,1.5767413884934873,0.08972969348325742,21.349347414424653,0.07458468769287217,0.043239286075751025,0.9302507024032777,0.08632262985508607,14.70928723277483
test_female.mp4_segment_2_Gesture_2.37_3.24,test,R,1,2,2,4.420713829633557e-05,2.4773843904087407,0.84,1,0.36,9.0,2,0.18006232330464012,0.1370340710090442,0.1370340710090442,2,0.08803204974838905,0.18556695690665026,0.08387767288822656,1.0390562483126877,0.08476906062034752,17.96659070484223,0.10850599826769942,0.04827837178664707,1.0149988105863217,0.0517715970027079,15.341327529278658
test_female.mp4_segment_3_Gesture_3.80_4.14,test,R,1,2,2,2.3946658594998346e-06,2.4628700405788884,0.32,0,0.0,0.0,1,0.12533537660228783,0.12533537660228783,0.12533537660228783,1,0.10320277099956335,0.12620459933723546,0.07159925036424025,0.8270050055900335,0.04455463289134147,14.667752969325782,0.1039110187772743,0.05978174693111899,0.6644938451651662,0.04770095898392197,11.938172145491537
test_female.mp4_segment_3_Gesture_4.87_6.54,test,R,3,4,2,0.002667223680381614,2.772776330857674,1.64,1,0.2,5.0,3,0.6955439324048349,0.32956964069885486,0.32956964069885486,3,0.17258759140859126,0.7284360838678418,0.22069431679870216,3.101721657098321,0.10747199992642105,42.2730591526884,0.3486701897126551,0.1008971995492825,2.1578387701730084,0.03801386955458482,30.64214766272327
test_female.mp4_segment_4_Gesture_4.44_6.54,test,R,3,4,2,0.00247651594878353,2.7834095215663806,2.08,2,0.68,8.5,3,0.6448735599643141,0.2976633515378437,0.2976633515378437,4,0.1311870046643351,0.683627091751727,0.17098300565703037,2.7832601031690434,0.057316193554077695,43.45598843491659,0.3348452467121653,0.07812098588980078,2.2431406468517534,0.03729737106693963,32.960283489179155
test_female.mp4_segment_4_Gesture_8.01_11.18,test,L,1,2,2,0.00047760984304716413,2.513661438937433,3.16,2,0.56,7.0,6,0.38559227482138403,0.2745042762084717,0.2745042762084717,6,0.14579488506885208,0.4095012506141987,0.17537113796975093,2.4259870521302997,0.07645810272754237,31.225328330790095,0.22122778984557226,0.09041063607217023,1.3416477180492004,0.02737733075513011,14.760299903875
test_female.mp4_segment_5_Gesture_7.67_11.18,test,L,1,2,2,0.0003665097216221415,2.5043788694309437,3.48,5,1.24,6.2,6,0.3861000663573519,0.3025930766413069,0.3025930766413069,7,0.13576578540934803,0.4246453779006557,0.1617109480213155,2.7443505100398595,0.03214438580065712,37.33825827114888,0.22754643763410645,0.08199670099589812,1.4564361441198,0.07253548554504136,18.647317078961677
test_male.mp4_segment_1_Gesture_0.17_3.64,test,L,1,2,2,0.0009537050222478183,2.4227484044529417,3.44,6,1.0,4.166666666666667,8,0.47428243806682224,0.27316135789603163,0.2731613578960316,8,0.12063792510539227,0.5630249575349754,0.18000258271824263,6.240582674351664,0.05144500811876686,68.3861605832375,0.17263481797153443,0.07501613556784895,1.9900200871130094,0.13284585235393687,25.747268896558918
test_male.mp4_segment_1_Gesture_0.23_3.37,test,L,1,2,2,0.0008149795237004787,2.4218841021584976,3.12,2,0.52,6.5,7,0.4297786036815648,0.2430002772336616,0.2430002772336616,5,0.09347779036745225,0.5303602107943494,0.1459782888501853,6.374682648745284,0.12991843138615855,75.65305839767915,0.16985167406073096,0.053102447444751566,2.0333380270666925,0.015441520629395439,25.07590084217351
test_male.mp4_segment_2_Gesture_5.00_5.81,test,L,2,4,2,0.00014013538161295478,2.2141553575642057,0.8,0,0.0,0.0,2,0.42393855615607645,0.4146771553520022,0.4146771553520022,2,0.2817232969021295,0.436796041131915,0.2562520777347599,3.74209254777905,0.38299675376423065,42.973038125050856,0.29740669577564327,0.16712607957591002,2.248477379725584,0.3363576066403356,29.115931219687226
test_male.mp4_segment_2_Gesture_5.14_5.47,test,L,2,4,2,2.37068164422815e-05,0.0,0.32,0,0.0,0.0,1,0.31060709388189317,0.31060709388189317,0.31060709388189317,1,0.17973096993145982,0.30839367400858775,0.211491604955556,1.7751443632359245,0.5676162330180415,29.11204509071319,0.18086169242928288,0.12488790155062901,0.8984365702692745,0.43431393744239905,16.61385969654541
test_male.mp4_segment_3_Gesture_8.98_9.78,test,L,2,4,4,0.005263874963868441,2.4306030881096574,0.8,0,0.0,0.0,3,1.1524216910746266,0.8839688182321268,0.8839688182321268,3,0.32102485389609337,1.2144703182150798,0.6034650179199916,10.782638207098598,0.9183508978966527,149.15054783555956,0.42193862626137346,0.22596700887252666,4.082280933898956,0.49393800429066986,58.098434867466395
test_male.mp4_segment_3_Gesture_9.21_9.44,test,L,2,4,4,0.0037364982814598923,2.4287055021321664,0.2,0,0.0,0.0,1,0.7505803070686963,0.7505803070686963,0.7505803070686963,1,0.19779753007223871,0.7505803070686962,0.5797108043936843,4.792517109749796,2.0100950224718446,89.09405996100803,0.1977975300722387,0.15311974902440367,1.2464562708902387,0.5438970887507862,23.469079782459563
test_male.mp4_segment_4_Gesture_12.01_12.35,test,L,1,4,4,6.385969048614782e-06,0.0,0.32,0,0.0,0.0,1,0.10657377772775088,0.10657377772775088,0.10657377772775088,1,0.03996815785128042,0.1071063618094175,0.06750811555196404,0.757159873377277,0.2831729286143602,12.256063426683278,0.03994269912999947,0.022321714618496413,0.4205439434944578,0.04610460501447398,5.88919581255665
test_male.mp4_segment_5_Gesture_12.71_13.01,test,R,2,4,2,2.6321060102487763e-06,2.701276337856176,0.28,1,0.16,4.0,1,0.11221201845249769,0.11221201845249769,0.11221201845249769,1,0.08562548446473686,0.11312980187657579,0.06986944215710227,0.7996806182886986,0.018301097287131016,13.942650783741223,0.0863152191052457,0.05151939710920805,0.6339042090131404,0.07019592304562325,11.15531237420535
